"","question_number","comment","guidance","judgement","tone","active_listening","follow_up","natural","begin","finish","skipped","comment_1","grammaticality","grammaticality_confidence","relevance","relevance_confidence","specificity","specificity_confidence","clarity","clarity_confidence","empathy","empathy_confidence","response_complexity","response_complexity_confidence","engagement","engagement_confidence","tone_answers","tone_answers_confidence","interview_identifier","type","rater"
"16",1,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,1,5,1,5,5,5,5,5,"dafbf33a-30ef-4297-b3ce-b6e67f4f298b","AI","rater1"
"17",2,"0",0,0,0,0,0,0,0,0,0,"0",3,4,5,5,3,4,4,5,4,4,2,5,4,5,4,4,"dafbf33a-30ef-4297-b3ce-b6e67f4f298b","AI","rater1"
"18",3,"0",0,0,0,0,0,0,0,0,0,"0",3,5,4,5,3,5,5,5,4,4,3,5,4,5,4,4,"dafbf33a-30ef-4297-b3ce-b6e67f4f298b","AI","rater1"
"19",4,"0",0,0,0,0,0,0,0,0,0,"0",4,5,5,5,5,5,5,5,5,5,1,5,4,5,5,5,"dafbf33a-30ef-4297-b3ce-b6e67f4f298b","AI","rater1"
"20",5,"0",0,0,0,0,0,0,0,0,0,"0",3,5,5,5,3,4,4,4,4,4,2,5,4,5,4,4,"dafbf33a-30ef-4297-b3ce-b6e67f4f298b","AI","rater1"
"21",6,"0",0,0,0,0,0,0,0,0,0,"0",2,5,4,5,2,5,2,5,4,4,2,4,4,5,4,4,"dafbf33a-30ef-4297-b3ce-b6e67f4f298b","AI","rater1"
"22",7,"0",0,1,0,0,0,1,0,0,0,"0",4,5,5,5,5,5,4,4,4,4,2,4,4,5,4,4,"dafbf33a-30ef-4297-b3ce-b6e67f4f298b","AI","rater1"
"23",8,"0",0,0,0,0,0,0,0,0,0,"0",4,5,5,5,3,4,3,4,5,4,3,4,4,5,4,5,"dafbf33a-30ef-4297-b3ce-b6e67f4f298b","AI","rater1"
"24",9,"0",0,0,0,0,0,0,0,0,0,"0",3,5,5,5,2,4,2,4,4,4,2,5,4,5,5,5,"dafbf33a-30ef-4297-b3ce-b6e67f4f298b","AI","rater1"
"25",10,"0",0,1,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,5,5,1,5,3,4,5,5,"dafbf33a-30ef-4297-b3ce-b6e67f4f298b","AI","rater1"
"26",11,"0",0,0,0,0,1,0,0,0,0,"0",5,5,2,4,2,5,3,4,2,3,1,5,3,5,4,5,"dafbf33a-30ef-4297-b3ce-b6e67f4f298b","AI","rater1"
"27",12,"in the previous response about the good things -- respondent only mentioned bad things but interviewer asked about bad things again",0,0,0,0,0,1,0,0,0,"0",4,5,5,5,2,5,2,4,2,3,2,5,4,4,4,5,"dafbf33a-30ef-4297-b3ce-b6e67f4f298b","AI","rater1"
"28",13,"0",0,0,0,0,0,0,0,0,0,"0",4,5,5,5,5,5,5,5,5,5,3,4,4,5,4,5,"dafbf33a-30ef-4297-b3ce-b6e67f4f298b","AI","rater1"
"29",14,"0",1,0,0,0,0,0,0,0,0,"0",5,5,1,5,1,5,1,5,4,4,1,5,1,5,3,5,"dafbf33a-30ef-4297-b3ce-b6e67f4f298b","AI","rater1"
"30",0,"0",0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"dafbf33a-30ef-4297-b3ce-b6e67f4f298b","AI","rater1"
"31",1,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,1,5,1,5,4,3,3,5,"a55c519f-6d79-424e-83c2-aef6ac1623b12","Human","rater1"
"32",2,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,4,4,3,5,3,5,5,5,"a55c519f-6d79-424e-83c2-aef6ac1623b11","Human","rater1"
"33",3,"0",0,0,0,0,1,0,0,0,0,"0",5,5,5,5,1,5,2,4,2,4,3,5,2,5,3,5,"a55c519f-6d79-424e-83c2-aef6ac1623b10","Human","rater1"
"34",4,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,1,5,1,5,3,5,3,5,"a55c519f-6d79-424e-83c2-aef6ac1623b9","AI","rater1"
"35",5,"0",0,1,0,0,0,0,0,0,0,"0",5,5,4,5,5,5,5,5,3,4,3,5,3,5,4,5,"a55c519f-6d79-424e-83c2-aef6ac1623b8","AI","rater1"
"36",6,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,4,5,3,5,3,5,4,5,"a55c519f-6d79-424e-83c2-aef6ac1623b7","AI","rater1"
"37",7,"0",0,1,0,0,0,1,0,0,0,"0",5,5,5,5,5,5,5,5,2,4,3,5,3,5,4,5,"a55c519f-6d79-424e-83c2-aef6ac1623b6","AI","rater1"
"38",8,"0",0,0,0,0,1,1,0,0,0,"0",5,5,5,5,1,5,2,5,3,5,3,5,2,5,4,5,"a55c519f-6d79-424e-83c2-aef6ac1623b5","AI","rater1"
"39",9,"0",0,0,0,0,1,0,0,0,0,"0",5,5,5,5,5,5,4,4,2,5,2,5,3,5,4,5,"a55c519f-6d79-424e-83c2-aef6ac1623b4","AI","rater1"
"40",10,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,1,5,1,5,3,4,2,5,"a55c519f-6d79-424e-83c2-aef6ac1623b3","AI","rater1"
"41",11,"0",0,0,0,0,0,0,0,0,0,"0",4,5,4,5,1,5,2,4,2,5,1,5,2,5,3,5,"a55c519f-6d79-424e-83c2-aef6ac1623b2","AI","rater1"
"42",12,"0",0,0,0,0,1,0,0,0,0,"0",5,5,4,5,1,5,2,5,2,5,2,5,2,5,3,5,"a55c519f-6d79-424e-83c2-aef6ac1623b1","AI","rater1"
"43",13,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,4,5,5,5,2,5,2,5,2,5,3,5,"a55c519f-6d79-424e-83c2-aef6ac1623b0","AI","rater1"
"44",14,"0",0,0,0,0,0,0,0,0,0,"the respond wasn't recorded properly",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"a55c519f-6d79-424e-83c2-aef6ac1623b1","AI","rater1"
"45",0,"0",0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"a55c519f-6d79-424e-83c2-aef6ac1623b2","AI","rater1"
"46",1,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,5,5,1,5,5,2,3,5,"9479c8b2-53b6-433f-8f0e-a39e7857e03f","AI","rater1"
"47",2,"0",0,0,0,0,0,0,0,0,0,"only half of response was recorded",5,5,5,5,4,3,2,4,4,5,2,5,4,3,3,5,"9479c8b2-53b6-433f-8f0e-a39e7857e03f","AI","rater1"
"48",3,"0",0,0,0,0,0,0,0,0,0,"0",4,5,4,5,5,5,5,5,3,4,2,5,5,5,4,4,"9479c8b2-53b6-433f-8f0e-a39e7857e03f","AI","rater1"
"49",4,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,5,5,1,5,4,5,4,5,"9479c8b2-53b6-433f-8f0e-a39e7857e03f","AI","rater1"
"50",5,"0",0,1,0,0,0,0,0,0,0,"0",3,5,5,5,4,5,4,5,3,4,3,5,4,5,4,5,"9479c8b2-53b6-433f-8f0e-a39e7857e03f","AI","rater1"
"51",6,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,4,5,3,5,4,5,4,5,"9479c8b2-53b6-433f-8f0e-a39e7857e03f","AI","rater1"
"52",7,"0",0,1,0,0,1,0,0,0,0,"0",4,5,5,5,4,4,3,5,4,5,3,5,4,5,4,5,"9479c8b2-53b6-433f-8f0e-a39e7857e03f","AI","rater1"
"53",8,"0",0,0,0,0,1,1,0,0,0,"0",5,5,5,5,3,4,5,5,4,5,1,5,4,5,4,5,"9479c8b2-53b6-433f-8f0e-a39e7857e03f","AI","rater1"
"54",9,"0",0,0,0,0,0,0,0,0,0,"0",5,5,1,2,1,1,5,5,3,4,1,5,2,4,3,5,"9479c8b2-53b6-433f-8f0e-a39e7857e03f","AI","rater1"
"55",10,"0",0,1,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,4,5,1,5,3,4,3,5,"9479c8b2-53b6-433f-8f0e-a39e7857e03f","AI","rater1"
"56",11,"0",0,1,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,4,5,2,5,4,5,3,4,"9479c8b2-53b6-433f-8f0e-a39e7857e03f","AI","rater1"
"57",12,"0",1,1,0,0,0,0,0,0,0,"0",5,5,5,5,4,5,5,4,4,5,2,5,4,5,3,4,"9479c8b2-53b6-433f-8f0e-a39e7857e03f","AI","rater1"
"58",13,"0",0,0,0,0,0,0,0,0,0,"0",3,5,5,5,4,5,4,5,4,5,2,5,4,5,3,5,"9479c8b2-53b6-433f-8f0e-a39e7857e03f","AI","rater1"
"59",14,"0",0,0,0,0,0,0,0,0,0,"0",5,5,4,5,4,5,5,5,4,5,3,5,4,5,3,5,"9479c8b2-53b6-433f-8f0e-a39e7857e03f","AI","rater1"
"60",0,"0",0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9479c8b2-53b6-433f-8f0e-a39e7857e03f","AI","rater1"
"61",1,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,1,5,1,5,1,5,3,5,"3932df7c-fe12-4188-bbc9-9de38d61c7a7","AI","rater1"
"62",2,"0",0,0,0,0,0,0,0,0,0,"0",4,5,5,5,5,5,5,5,3,5,2,5,3,4,3,5,"3932df7c-fe12-4188-bbc9-9de38d61c7a8","AI","rater1"
"63",3,"0",0,0,0,0,0,0,0,0,0,"0",4,5,4,5,3,5,5,5,4,5,2,5,4,5,3,5,"3932df7c-fe12-4188-bbc9-9de38d61c7a9","AI","rater1"
"64",4,"0",0,0,0,0,0,0,0,0,0,"0",3,5,5,5,5,5,5,5,4,5,3,5,4,5,4,5,"3932df7c-fe12-4188-bbc9-9de38d61c7a10","Human","rater1"
"65",5,"0",0,0,0,0,0,0,0,0,0,"respondent was talking to AI tool, asking it not to switch off and record their answers",4,5,5,5,5,5,5,5,5,5,3,5,5,5,2,3,"3932df7c-fe12-4188-bbc9-9de38d61c7a11","Human","rater1"
"66",6,"0",0,0,0,0,0,0,0,0,0,"same here + i assume that problems with a tool could have made it harder to formulate a clearer answer",5,5,4,5,2,5,1,4,5,5,3,5,5,5,2,3,"3932df7c-fe12-4188-bbc9-9de38d61c7a12","Human","rater1"
"67",7,"0",0,1,0,0,0,1,0,0,0,"0",5,5,5,5,5,5,5,5,4,5,3,5,5,5,4,5,"3932df7c-fe12-4188-bbc9-9de38d61c7a13","Human","rater1"
"68",8,"0",0,0,0,0,0,0,0,0,0,"0",4,5,4,5,3,5,4,5,5,5,3,5,5,5,4,5,"3932df7c-fe12-4188-bbc9-9de38d61c7a14","Human","rater1"
"69",9,"AI bot in general often suggest broader ideas in the reactions to the answer. This could not be considered directly as guidance but those slightly new ideas that it suggests can influence further answers. Example: Respondent: so the ability to showe or to express your opinions your beliefs about some topics without the fear that if your topics are I mean without the fear that someone can punish you just for the act of showing your opinions
Interviewer: You've highlighted a fundamental aspect of democracy: the freedom of expression. The ability to share one's opinions, beliefs, and viewpoints without fear of punishment or repression is crucial. This freedom supports an open dialogue, encourages diverse perspectives, and allows for the healthy functioning of a democratic society by ensuring that all voices can be heard and considered. ",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,5,5,3,5,4,5,3,5,"3932df7c-fe12-4188-bbc9-9de38d61c7a15","Human","rater1"
"70",10,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,2,5,1,5,2,5,3,5,"3932df7c-fe12-4188-bbc9-9de38d61c7a16","Human","rater1"
"71",11,"0",0,0,0,0,0,0,0,0,0,"0",4,5,5,5,4,5,5,5,5,5,3,5,4,5,3,5,"3932df7c-fe12-4188-bbc9-9de38d61c7a17","Human","rater1"
"72",12,"0",0,0,0,0,0,0,0,0,0,"0",4,5,5,5,3,5,5,5,5,5,4,5,4,5,2,3,"3932df7c-fe12-4188-bbc9-9de38d61c7a18","Human","rater1"
"73",13,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,4,5,3,5,4,5,3,5,"3932df7c-fe12-4188-bbc9-9de38d61c7a19","Human","rater1"
"74",14,"0",0,0,0,0,0,0,0,0,0,"0",3,5,3,5,2,5,3,5,3,5,2,5,4,5,3,4,"3932df7c-fe12-4188-bbc9-9de38d61c7a20","Human","rater1"
"75",0,"0",0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3932df7c-fe12-4188-bbc9-9de38d61c7a21","Human","rater1"
"76",1,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,2,5,1,5,2,5,3,5,"54d02dba-02c5-4c5f-8ac2-31ef476c293a","AI","rater1"
"77",2,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,2,5,3,5,3,4,4,5,"54d02dba-02c5-4c5f-8ac2-31ef476c293a","AI","rater1"
"78",3,"0",0,0,0,0,0,0,0,0,0,"0",4,5,5,5,5,5,5,5,2,5,3,5,2,4,4,5,"54d02dba-02c5-4c5f-8ac2-31ef476c293a","AI","rater1"
"79",4,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,1,5,1,5,1,3,3,5,"54d02dba-02c5-4c5f-8ac2-31ef476c293a","AI","rater1"
"80",5,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,4,5,5,5,2,5,3,5,3,4,3,5,"54d02dba-02c5-4c5f-8ac2-31ef476c293a","AI","rater1"
"81",6,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,1,5,3,5,2,3,3,5,"54d02dba-02c5-4c5f-8ac2-31ef476c293a","AI","rater1"
"82",7,"0",0,1,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,1,5,2,5,2,5,3,5,"54d02dba-02c5-4c5f-8ac2-31ef476c293a","AI","rater1"
"83",8,"0",0,0,0,0,1,0,0,0,0,"0",3,5,4,5,2,5,2,4,1,5,2,5,3,4,3,5,"54d02dba-02c5-4c5f-8ac2-31ef476c293a","AI","rater1"
"84",9,"0",0,0,0,0,1,0,0,0,0,"0",5,5,5,5,3,5,4,5,2,5,3,5,2,5,3,5,"54d02dba-02c5-4c5f-8ac2-31ef476c293a","AI","rater1"
"85",10,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,1,5,3,5,2,5,3,5,"54d02dba-02c5-4c5f-8ac2-31ef476c293a","AI","rater1"
"86",11,"0",0,1,0,0,1,0,0,0,0,"0",5,5,5,5,5,5,5,5,1,5,1,5,1,5,3,5,"54d02dba-02c5-4c5f-8ac2-31ef476c293a","AI","rater1"
"87",12,"0",0,0,0,0,1,0,0,0,0,"0",5,5,5,5,2,5,3,5,1,5,1,5,1,5,3,5,"54d02dba-02c5-4c5f-8ac2-31ef476c293a","AI","rater1"
"88",13,"0",0,1,0,0,1,0,0,0,0,"0",5,5,5,5,2,5,3,5,1,5,1,5,1,5,3,5,"54d02dba-02c5-4c5f-8ac2-31ef476c293a","AI","rater1"
"89",14,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,3,5,5,5,1,5,3,5,1,5,3,5,"54d02dba-02c5-4c5f-8ac2-31ef476c293a","AI","rater1"
"90",0,"0",0,0,0,0,0,0,0,0,0,"I assume this interview was the one where recording didnt function properly and that is why answers that were printed are mostly impersonal and short, they highly likely don't represent the situtation of the real conversation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"54d02dba-02c5-4c5f-8ac2-31ef476c293a","AI","rater1"
"91",1,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,5,5,1,5,1,5,3,5,"9a0d7860-9457-4981-96d4-2d9bd5873e5f","AI","rater1"
"92",2,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,2,5,3,5,3,4,3,5,"9a0d7860-9457-4981-96d4-2d9bd5873e5f","AI","rater1"
"93",3,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,3,4,3,5,4,4,3,5,"9a0d7860-9457-4981-96d4-2d9bd5873e5f","AI","rater1"
"94",4,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,3,4,2,5,3,4,3,5,"9a0d7860-9457-4981-96d4-2d9bd5873e5f","AI","rater1"
"95",5,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,3,4,3,5,3,4,3,5,"9a0d7860-9457-4981-96d4-2d9bd5873e5f","AI","rater1"
"96",6,"0",0,0,0,0,1,0,0,0,0,"0",5,5,5,5,2,5,3,5,3,4,2,5,3,4,3,5,"9a0d7860-9457-4981-96d4-2d9bd5873e5f","AI","rater1"
"97",7,"0",0,0,0,0,0,1,0,0,0,"0",5,5,5,5,5,5,5,5,4,5,3,5,4,5,3,5,"9a0d7860-9457-4981-96d4-2d9bd5873e5f","AI","rater1"
"98",8,"0",0,0,0,0,1,0,0,0,0,"0",5,5,2,5,2,5,3,5,3,4,3,5,2,4,3,5,"9a0d7860-9457-4981-96d4-2d9bd5873e5f","AI","rater1"
"99",9,"0",0,0,0,0,0,0,0,0,0,"0",5,5,4,5,3,5,4,5,3,5,3,5,4,5,4,5,"9a0d7860-9457-4981-96d4-2d9bd5873e5f","AI","rater1"
"100",10,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,1,5,1,5,1,5,3,5,"9a0d7860-9457-4981-96d4-2d9bd5873e5f","AI","rater1"
"101",11,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,2,4,3,5,4,5,4,5,"9a0d7860-9457-4981-96d4-2d9bd5873e5f","AI","rater1"
"102",12,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,3,4,3,5,4,5,3,5,"9a0d7860-9457-4981-96d4-2d9bd5873e5f","AI","rater1"
"103",13,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,3,5,3,5,5,5,4,5,"9a0d7860-9457-4981-96d4-2d9bd5873e5f","AI","rater1"
"104",14,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,3,5,3,5,5,5,4,5,"9a0d7860-9457-4981-96d4-2d9bd5873e5f","AI","rater1"
"105",0,"0",0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9a0d7860-9457-4981-96d4-2d9bd5873e5f","AI","rater1"
"106",1,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,1,5,1,5,1,5,3,5,"3bf2a62d-9fbe-485f-aee8-9f8f9a9af77b","AI","rater1"
"107",2,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,2,5,2,5,4,5,3,5,"3bf2a62d-9fbe-485f-aee8-9f8f9a9af77b","AI","rater1"
"108",3,"0",0,0,0,0,0,0,0,0,0,"0",4,5,5,5,5,5,5,5,2,5,3,5,4,5,4,5,"3bf2a62d-9fbe-485f-aee8-9f8f9a9af77b","AI","rater1"
"109",4,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,1,5,1,5,4,5,3,5,"3bf2a62d-9fbe-485f-aee8-9f8f9a9af77b","AI","rater1"
"110",5,"0",0,0,0,0,1,0,0,0,0,"0",5,5,5,5,4,5,5,5,2,5,3,5,4,5,4,5,"3bf2a62d-9fbe-485f-aee8-9f8f9a9af77b","AI","rater1"
"111",6,"0",0,0,0,0,1,0,0,0,0,"0",5,5,5,5,5,5,5,5,2,5,2,5,4,5,4,5,"3bf2a62d-9fbe-485f-aee8-9f8f9a9af77b","AI","rater1"
"112",7,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,2,5,1,5,3,5,3,5,"3bf2a62d-9fbe-485f-aee8-9f8f9a9af77b","AI","rater1"
"113",8,"0",0,0,0,0,1,0,0,0,0,"0",5,5,5,5,5,5,5,5,4,4,3,5,3,5,4,5,"3bf2a62d-9fbe-485f-aee8-9f8f9a9af77b","AI","rater1"
"114",9,"0",0,0,0,0,0,0,0,0,0,"0",5,5,4,5,4,5,5,5,1,5,3,5,2,5,3,5,"3bf2a62d-9fbe-485f-aee8-9f8f9a9af77b","AI","rater1"
"115",10,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,1,5,1,5,1,5,3,5,"3bf2a62d-9fbe-485f-aee8-9f8f9a9af77b","AI","rater1"
"116",11,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,3,5,4,5,3,5,3,5,2,5,3,5,"3bf2a62d-9fbe-485f-aee8-9f8f9a9af77b","AI","rater1"
"117",12,"0",0,0,0,0,1,0,0,0,0,"0",5,5,5,5,2,5,3,5,2,5,3,5,2,5,3,5,"3bf2a62d-9fbe-485f-aee8-9f8f9a9af77b","AI","rater1"
"118",13,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,4,5,5,5,2,5,2,5,2,5,3,5,"3bf2a62d-9fbe-485f-aee8-9f8f9a9af77b","AI","rater1"
"119",14,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,1,5,1,5,1,5,3,5,"3bf2a62d-9fbe-485f-aee8-9f8f9a9af77b","AI","rater1"
"120",0,"0",0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3bf2a62d-9fbe-485f-aee8-9f8f9a9af77b","AI","rater1"
"121",1,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,1,5,1,5,2,4,3,5,"7","Human","rater1"
"122",2,"0",0,0,0,0,0,0,0,0,0,"0",4,5,5,5,5,5,5,5,4,5,3,5,2,4,4,5,"7","Human","rater1"
"123",3,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,4,5,3,5,4,5,4,5,"7","Human","rater1"
"124",4,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,4,5,1,5,4,5,4,5,"7","Human","rater1"
"125",5,"0",0,0,0,0,0,0,0,0,1,"question was skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7","Human","rater1"
"126",6,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,3,5,2,5,3,4,3,5,"7","Human","rater1"
"127",7,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,4,5,2,5,3,4,3,5,"7","Human","rater1"
"128",8,"0",1,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,4,5,1,5,4,4,3,5,"7","Human","rater1"
"129",9,"0",1,1,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,5,5,3,5,5,5,4,5,"7","Human","rater1"
"130",10,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,3,4,1,5,4,3,3,3,"7","Human","rater1"
"131",11,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,5,5,3,5,5,5,4,5,"7","Human","rater1"
"132",12,"0",0,0,0,0,0,0,0,0,1,"question was skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7","Human","rater1"
"133",13,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,3,5,2,5,5,5,3,5,"7","Human","rater1"
"134",14,"0",0,0,0,0,0,0,0,0,0,"0",0,5,5,5,5,5,5,5,4,5,2,5,3,5,3,3,"7","Human","rater1"
"135",0,"0",0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7","Human","rater1"
"136",1,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,1,5,1,5,2,5,3,5,"4","Human","rater1"
"137",2,"0",0,0,0,0,0,0,0,0,0,"0",4,5,5,5,5,5,5,5,3,5,3,5,4,5,2,5,"4","Human","rater1"
"138",3,"0",0,0,0,0,0,0,0,0,0,"0",4,5,5,5,5,5,5,5,3,5,3,5,3,5,2,5,"4","Human","rater1"
"139",4,"0",0,0,0,0,0,0,0,0,0,"0",5,5,5,5,5,5,5,5,5,5,1,5,2,5,3,5,"4","Human","rater1"
